Designator,Mid X,Mid Y,Rotation,Layer
C1,103.955113,-34.0,180.0,top
C10,75.5,-64.367677,90.0,top
C11,61.95,-35.039775,90.0,top
C12,68.0,-34.955113,90.0,top
C13,107.632323,-88.0,0.0,top
C14,77.882323,-119.5,0.0,top
C15,77.882323,-88.0,0.0,top
C16,77.882323,-98.5,0.0,top
C17,77.882323,-109.0,0.0,top
C18,107.632323,-98.5,0.0,top
C19,107.632323,-109.0,0.0,top
C2,112.25,-33.25,90.0,top
C20,107.632323,-119.5,0.0,top
C22,174.0,-77.5,180.0,top
C23,176.705113,-71.75,180.0,top
C24,111.5,-41.75,0.0,top
C3,103.955113,-46.25,180.0,top
C4,155.64,-47.66,90.0,top
C5,34.617677,-80.5,180.0,top
C6,34.617677,-70.0,180.0,top
C7,34.617677,-59.5,180.0,top
C8,54.5,-64.367677,90.0,top
C9,65.0,-64.367677,90.0,top
D1,48.95,-104.25,270.0,top
D10,55.75,-91.38,270.0,top
D2,95.0,-73.5,0.0,top
D3,58.0,-115.25,270.0,top
D4,130.75,-58.755,90.0,top
D5,46.98,-30.25,180.0,top
D6,33.75,-103.995,270.0,top
D7,68.995,-119.5,0.0,top
D8,64.255,-102.5,180.0,top
D9,124.25,-58.755,90.0,top
J1,50.3925,-114.125,90.0,top
J10,40.975,-40.98,180.0,top
J11,99.0,-47.31,180.0,top
J12,203.25,-120.5,180.0,top
J2,44.1175,-92.5,90.0,top
J3,82.5,-29.69,180.0,top
J4,60.975,-43.48,180.0,top
J5,151.0,-47.73,0.0,top
J6,103.995,-39.5,90.0,top
J7,38.25,-49.25,90.0,top
J8,126.52,-98.25,0.0,top
J9,146.5,-68.14,180.0,top
L1,64.75,-77.75,0.0,top
L2,92.5,-86.5,0.0,top
Q1,44.2,-104.0,90.0,top
Q2,51.0,-54.25,180.0,top
R1,109.75,-35.3,270.0,top
R12,83.25,-39.19,270.0,top
R13,81.25,-39.19,90.0,top
R14,77.75,-39.19,90.0,top
R15,86.75,-39.19,270.0,top
R16,155.5,-59.25,0.0,top
R17,155.25,-77.0,180.0,top
R18,151.83,-53.41,0.0,top
R19,131.3,-53.5,0.0,top
R2,57.8,-30.5,0.0,top
R20,117.0,-55.2,90.0,top
R21,64.2,-108.25,180.0,top
R22,124.5,-65.44,270.0,top
R3,130.75,-65.44,270.0,top
R4,53.55,-107.0,0.0,top
R5,52.94,-30.5,0.0,top
R6,33.8,-99.0,0.0,top
R7,62.95,-119.5,180.0,top
U1,51.0,-43.25,0.0,top
U2,125.1,-38.0,0.0,top
U3,64.5,-91.5,270.0,top
U4,96.75,-97.975,270.0,top
U5,82.25,-43.44,0.0,top
U6,191.93,-93.425,90.0,top
U7,45.5,-82.25,0.0,top
